witness_id,source_id,operator_id,conjugate_operator_id,left_path,right_path,left_defined,right_defined,left_target_id,right_target_id,domain_matches,target_matches,result
covariance:L2:3793,3793,L2,L1,L2;M,M;L1,true,true,985,985,true,true,PASS
covariance:L2:3809,3809,L2,L1,L2;M,M;L1,true,true,493,493,true,true,PASS
covariance:L2:3847,3847,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3851,3851,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3853,3853,L2,L1,L2;M,M;L1,true,true,3973,3973,true,true,PASS
covariance:L2:3859,3859,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3861,3861,L2,L1,L2;M,M;L1,true,true,3977,3977,true,true,PASS
covariance:L2:3865,3865,L2,L1,L2;M,M;L1,true,true,1989,1989,true,true,PASS
covariance:L2:3875,3875,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3877,3877,L2,L1,L2;M,M;L1,true,true,3985,3985,true,true,PASS
covariance:L2:3881,3881,L2,L1,L2;M,M;L1,true,true,1993,1993,true,true,PASS
covariance:L2:3889,3889,L2,L1,L2;M,M;L1,true,true,997,997,true,true,PASS
covariance:L2:3907,3907,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3909,3909,L2,L1,L2;M,M;L1,true,true,4001,4001,true,true,PASS
covariance:L2:3913,3913,L2,L1,L2;M,M;L1,true,true,2001,2001,true,true,PASS
covariance:L2:3921,3921,L2,L1,L2;M,M;L1,true,true,1001,1001,true,true,PASS
covariance:L2:3937,3937,L2,L1,L2;M,M;L1,true,true,501,501,true,true,PASS
covariance:L2:3971,3971,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3973,3973,L2,L1,L2;M,M;L1,true,true,4033,4033,true,true,PASS
covariance:L2:3977,3977,L2,L1,L2;M,M;L1,true,true,2017,2017,true,true,PASS
covariance:L2:3985,3985,L2,L1,L2;M,M;L1,true,true,1009,1009,true,true,PASS
covariance:L2:4001,4001,L2,L1,L2;M,M;L1,true,true,505,505,true,true,PASS
covariance:L2:4033,4033,L2,L1,L2;M,M;L1,true,true,253,253,true,true,PASS
covariance:R3:127,127,R3,R2,R3;M,M;R2,false,false,,,true,true,PASS
covariance:R3:191,191,R3,R2,R3;M,M;R2,false,false,,,true,true,PASS
covariance:R3:223,223,R3,R2,R3;M,M;R2,false,false,,,true,true,PASS
covariance:R3:239,239,R3,R2,R3;M,M;R2,false,false,,,true,true,PASS
covariance:R3:247,247,R3,R2,R3;M,M;R2,true,true,2173,2173,true,true,PASS
covariance:R3:251,251,R3,R2,R3;M,M;R2,false,false,,,true,true,PASS
covariance:R3:253,253,R3,R2,R3;M,M;R2,false,false,,,true,true,PASS
covariance:R3:319,319,R3,R2,R3;M,M;R2,false,false,,,true,true,PASS
covariance:R3:351,351,R3,R2,R3;M,M;R2,false,false,,,true,true,PASS
covariance:R3:367,367,R3,R2,R3;M,M;R2,false,false,,,true,true,PASS
covariance:R3:375,375,R3,R2,R3;M,M;R2,true,true,2237,2237,true,true,PASS
covariance:R3:379,379,R3,R2,R3;M,M;R2,false,false,,,true,true,PASS
covariance:R3:381,381,R3,R2,R3;M,M;R2,false,false,,,true,true,PASS
covariance:R3:415,415,R3,R2,R3;M,M;R2,false,false,,,true,true,PASS
covariance:R3:431,431,R3,R2,R3;M,M;R2,false,false,,,true,true,PASS
covariance:R3:439,439,R3,R2,R3;M,M;R2,true,true,2269,2269,true,true,PASS
